ID	Reference	Title	Year	Authors	doi	Experimental_Setup	Preprocessing_reported	Inclusion_1	Reason_exclusion_1	Open_data_1	Screening_1	Notes_1	Inclusion_2	Reason_exclusion_2	Open_data_2	Screening_2	Notes_2	Inclusion_final	Reason_final
200	"Hasbroucq, T., & Possamaï, C. A. (1994). What can a precue enhance?
 An analysis of the experiments of Proctor, Lu and Van Zandt (1992). Acta Psychologica, 85(3), 235-244."		1994					0	Commentary		ME	A commentary, not experiment	0			LS_LW		0	No RT data
201	"Daniels, K. A. (2002). Control, automaticity, and working memory:
 A dual-process analysis. Georgia Institute of Technology."		2002					0	Doctoral dissertation		ME	Doctoral dissertation, do not have access	0	no simon task		LD_HP		0	Dissertation
202	"Sekine, K., & Kita, S. (2017). The listener automatically uses spatial story
 representations from the speaker's cohesive gestures when processing subsequent sentences without gestures. Acta psychologica, 179, 89-95."		2017					0	Does not focus on Simon effect		ME	Does not focus on Simon effect	0			LS_LW		0	No Simon task
203	"Edwards, D. J., Kaastra, L. T., Fisher, B., Chang, R., & Chen, M. (2017). 
 Cognitive information theories of psychology and applications with visualization and HCI through crowdsourcing platforms. In Evaluation in the Crowd. Crowdsourcing and Human-Centered Experiments (pp. 139-153). Springer, Cham."		2017					0	Unable to access it		ME	This is a book	0			LS_LW		0	Book chapter without empirical data
204	"Hay, J., Walker, A., Sanchez, K., & Thompson, K. (2019). Abstract social
 categories facilitate access to socially skewed words. PloS one, 14(2), e0210793."		2019					0	Does not focus on Simon effect		ME	Does not focus on simon effect	0			LS_LW		0	No Simon task
205	"Kanske, P. (2008). Exploring executive attention in emotion: ERP and fMRI
 evidence (Doctoral dissertation, Max-Planck-Institute for Human Cognitive and Brain Sciences Leipzig)."		2008					0	Doctoral dissertation		ME	doctoral dissertation, does not focus on Simon effect	0			LS_LW		0	Dissertation
206	"????, & ????. (2012). ????????????. 
 ?????, 55(4), 436-458."		2012					0	This is not available in English		ME	Not available in English	0			LS_LW		0	Chinese
207	"Dodd, M. D., Hibbing, J. R., & Smith, K. B. (2016). The politics of attention: 
 differences in visual cognition between liberals and conservatives. In Psychology of learning and motivation (Vol. 65, pp. 277-309). Academic Press."		2016					0	Unable to access it and is a book		ME	This is a book	0			LS_LW		0	Book chapter without empirical data
208	"Margolis, A. E., Davis, K. S., Pao, L. S., Lewis, A., Yang, X., Tau, G., ... & Marsh, R.
 (2018). Verbal–spatial IQ discrepancies impact brain activation associated with the resolution of cognitive conflict in children and adolescents. Developmental science, 21(2), e12550."		2018					0	Uses MRI		ME	Uses fMRI	0			LS_LW		0	No RT data
209	"O'Brien, J. C. (2004). Mechanisms underlying fine motor eye-hand 
 coordination in children with developmental coordination disorder. University of South Carolina."		2004					0	Focuses on children with DCD		ME	Focuses on children with DCD	0	clinical sample, mean/sd not available		LD_HP		0	No healthy young adults
210	"Lehle, C., Cohen, A., Sangals, J., Sommer, W., & Stürmer, B. (2011). Differential
 dynamics of spatial and non-spatial stimulus-response compatibility effects: A dual task LRP study. Acta psychologica, 136(1), 42-51."	Differential dynamics of spatial and non-spatial stimulus-response compatibility effects: A dual task LRP study.	2011	Lehle, C., Cohen, A., Sangals, J., Sommer, W., & Stürmer, B. (2011).	https://doi.org/10.1016/j.actpsy.2010.09.013	"Experiment 1: A trial started with the onset of the square response keys on the screen and a small fixation mark at the center of the stimulus field (cf. Fig. 1A). After 900 ms, a soft or loud tone was presented (S1). After an SOA of 100, 400, or 700 ms – randomized across trials – one of the letters “X” or “S” (S2) appeared at random above or below fixation. In the primary task (T1), participants had to respond to soft and loud tones by pressing the foot pedal with weak or strong force (120-990 vs. > 990 cN). Whether participants executed the pedal presses with the left or right foot was held constant over a given block of trials, but alternated between blocks.
 
 For the secondary task (T2), manual responses were required to the visual stimuli. The upper or lower response keys were to be touched to the letters “X” or “S”, in counterbalanced assignment. The response keys and the visual stimuli remained on the screen until both responses had been executed. If RT1 or RT2 were shorter than 150 ms or exceeded 2 s, the response was classified as an error. The tone-foot and the visual-manual task were first practiced as single tasks. That is, four to six blocks of practice were conducted in the tone-foot task – depending on the participant – and two practice blocks in the visual-manual task. Subsequently, in the main experiment, 14 blocks of 48 trials each were conducted with both tasks as dual task. Whether participants started with the left or right foot in the first block of T1 was counterbalanced. Between blocks, participants could make short self-terminated breaks. Any errors in T1 or T2 were signalled by a specific message on the screen, e.g. “too slow”, “too fast”, or “wrong response key”. If the manual response was executed before the foot response, it was also registered as error. Experiment 2: now a color version of the Simon paradigm was used as T2 in the PRP paradigm (cf. Fig. 1B for the basic design). For the non-spatial Simon task, one of the numerals “4” or “8” (font size 76 pt) was presented – at random in yellow or blue – at the location of the fixation mark on the black background. After conducting T1, participants were requested to press the yellow or blue key if an “8” or a “4” appeared, respectively, the mapping being balanced across participants."	yes	0	Too different from the original and focuses on alternative processes not related to Simon task		ME	apply ERP	0			LS_LW		0	No Simon task
211	"Smith, P., & Brebner, J. (1983). S?R compatibility: The relative effects of 
 “relevant” spatial and non?spatial variables. Australian Journal of Psychology, 35(1), 1-10."	S?R compatibility: The relative effects of “relevant” spatial and non?spatial variables.	1983	Smith, P., & Brebner, J.	https://doi.org/10.1080/00049538308255298	Within any given instruction variant, there are four possible S-R arrangements, depending on the colour and location of the stimulus. These arrangements can be categorized according to whether the colour and positional relationships between the stimulus and response keys can be described by a single recoding rule (both side and colour are “same” or both are “alternative”), or whether separate rules are required for each (one is “same”, the other is “alternative”).	no	0	Does not discuss Simon effect		ME		0			LS_LW		0	No Simon task
212	"Murchison, N. M., & Proctor, R. W. (2013). Spatial compatibility effects with
 unimanual and bimanual wheel-rotation responses: An homage to Guiard (1983). Journal of motor behavior, 45(5), 441-454."	Spatial compatibility effects with unimanual and bimanual wheel-rotation responses: An homage to Guiard (1983).	2013	Murchison, N. M., & Proctor, R. W	https://doi.org/10.1080/00222895.2013.823906	In Experiment 1A, with bimanual responses, there were four test blocks, composed from the combinations of two S-R mappings and two hand placements, each of which had 60 trials (30 each of stimuli appearing on the right and on the left). This resulted in a total of 240 trials. Prior to each test block, a practice block of 10 trials was given. The order of the four conditions was randomly determined for each participant. In Experiment 1B, with unimanual responses, the number of trial blocks was increased to eight in order to accommodate responding with each hand at each combination of placement and mapping. Each participant completed the eight blocks of 60 trials in a randomized order, for a total of 480 trials. Before each trial block, written instructions shown on the screen indicated the hand placement that was to be used and whether to respond toward or away from the stimulus. The participant then performed the 10 practice trials with the mapping–placement combination. Once finished, there were again written instructions that stated the practice trials were over and to maintain the current position for the duration of that block, the remaining 60 stimuli. Short breaks of no more than 2 min were allowed between the successive test blocks.	yes	0	driving and Simon task		ME		0			LS_LW		0	No Simon task
